source_system,school_year,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,reconciliation_status,enrollment_rows,active_enrollments
synthetic_canvas,2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,matched,11,11
synthetic_canvas,2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,matched,10,10
synthetic_canvas,2026-2027,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,matched,13,13
synthetic_canvas,2027-2028,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,matched,13,13
synthetic_canvas,2028-2029,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,matched,8,8
synthetic_canvas,2028-2029,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,matched,8,8
synthetic_canvas,2029-2030,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,matched,10,10
synthetic_canvas,2029-2030,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,matched,9,9
synthetic_canvas,2030-2031,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,matched,13,13
synthetic_canvas,2031-2032,MATH-ALG1,Algebra 1,regular,Y06-SEC-001,Algebra 1 - Synthetic Section 07-01,TCH-001,Teacher 01,matched,13,13
synthetic_canvas,2025-2026,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,matched,12,12
synthetic_canvas,2025-2026,MATH-ALG2,Algebra 2,regular,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,TCH-002,Teacher 02,matched,12,12
synthetic_canvas,2025-2026,MATH-ALG2,Algebra 2,regular,Y00-SEC-011,Algebra 2 - Synthetic Section 01-11,TCH-003,Teacher 03,matched,11,11
synthetic_canvas,2026-2027,MATH-ALG2,Algebra 2,regular,Y01-SEC-006,Algebra 2 - Synthetic Section 02-06,TCH-002,Teacher 02,matched,11,11
synthetic_canvas,2026-2027,MATH-ALG2,Algebra 2,regular,Y01-SEC-007,Algebra 2 - Synthetic Section 02-07,TCH-002,Teacher 02,matched,11,11
synthetic_canvas,2026-2027,MATH-ALG2,Algebra 2,regular,Y01-SEC-008,Algebra 2 - Synthetic Section 02-08,TCH-002,Teacher 02,matched,11,11
synthetic_canvas,2026-2027,MATH-ALG2,Algebra 2,regular,Y01-SEC-009,Algebra 2 - Synthetic Section 02-09,TCH-002,Teacher 02,matched,10,10
synthetic_canvas,2027-2028,MATH-ALG2,Algebra 2,regular,Y02-SEC-006,Algebra 2 - Synthetic Section 03-06,TCH-002,Teacher 02,matched,13,13
synthetic_canvas,2027-2028,MATH-ALG2,Algebra 2,regular,Y02-SEC-007,Algebra 2 - Synthetic Section 03-07,TCH-002,Teacher 02,matched,13,13
synthetic_canvas,2027-2028,MATH-ALG2,Algebra 2,regular,Y02-SEC-008,Algebra 2 - Synthetic Section 03-08,TCH-002,Teacher 02,matched,13,13
synthetic_canvas,2028-2029,MATH-ALG2,Algebra 2,regular,Y03-SEC-007,Algebra 2 - Synthetic Section 04-07,TCH-002,Teacher 02,matched,12,12
synthetic_canvas,2028-2029,MATH-ALG2,Algebra 2,regular,Y03-SEC-008,Algebra 2 - Synthetic Section 04-08,TCH-002,Teacher 02,matched,11,11
synthetic_canvas,2028-2029,MATH-ALG2,Algebra 2,regular,Y03-SEC-009,Algebra 2 - Synthetic Section 04-09,TCH-002,Teacher 02,matched,11,11
synthetic_canvas,2029-2030,MATH-ALG2,Algebra 2,regular,Y04-SEC-008,Algebra 2 - Synthetic Section 05-08,TCH-002,Teacher 02,matched,13,13
synthetic_canvas,2029-2030,MATH-ALG2,Algebra 2,regular,Y04-SEC-009,Algebra 2 - Synthetic Section 05-09,TCH-002,Teacher 02,matched,13,13
synthetic_canvas,2029-2030,MATH-ALG2,Algebra 2,regular,Y04-SEC-010,Algebra 2 - Synthetic Section 05-10,TCH-002,Teacher 02,matched,13,13
synthetic_canvas,2030-2031,MATH-ALG2,Algebra 2,regular,Y05-SEC-006,Algebra 2 - Synthetic Section 06-06,TCH-002,Teacher 02,matched,12,12
synthetic_canvas,2030-2031,MATH-ALG2,Algebra 2,regular,Y05-SEC-007,Algebra 2 - Synthetic Section 06-07,TCH-002,Teacher 02,matched,11,11
synthetic_canvas,2030-2031,MATH-ALG2,Algebra 2,regular,Y05-SEC-008,Algebra 2 - Synthetic Section 06-08,TCH-002,Teacher 02,matched,11,11
synthetic_canvas,2030-2031,MATH-ALG2,Algebra 2,regular,Y05-SEC-009,Algebra 2 - Synthetic Section 06-09,TCH-002,Teacher 02,matched,11,11
synthetic_canvas,2031-2032,MATH-ALG2,Algebra 2,regular,Y06-SEC-006,Algebra 2 - Synthetic Section 07-06,TCH-002,Teacher 02,matched,12,12
synthetic_canvas,2031-2032,MATH-ALG2,Algebra 2,regular,Y06-SEC-007,Algebra 2 - Synthetic Section 07-07,TCH-002,Teacher 02,matched,12,12
synthetic_canvas,2031-2032,MATH-ALG2,Algebra 2,regular,Y06-SEC-008,Algebra 2 - Synthetic Section 07-08,TCH-002,Teacher 02,matched,12,12
synthetic_canvas,2025-2026,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,TCH-003,Teacher 03,matched,11,11
synthetic_canvas,2025-2026,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-013,Honors Algebra 2 - Synthetic Section 01-13,TCH-003,Teacher 03,matched,11,11
synthetic_canvas,2025-2026,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-014,Honors Algebra 2 - Synthetic Section 01-14,TCH-003,Teacher 03,matched,11,11
synthetic_canvas,2025-2026,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-015,Honors Algebra 2 - Synthetic Section 01-15,TCH-003,Teacher 03,matched,10,10
synthetic_canvas,2026-2027,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-010,Honors Algebra 2 - Synthetic Section 02-10,TCH-003,Teacher 03,matched,14,14
synthetic_canvas,2026-2027,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,Honors Algebra 2 - Synthetic Section 02-11,TCH-003,Teacher 03,matched,13,13
synthetic_canvas,2026-2027,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,Honors Algebra 2 - Synthetic Section 02-12,TCH-003,Teacher 03,matched,13,13
synthetic_canvas,2027-2028,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-009,Honors Algebra 2 - Synthetic Section 03-09,TCH-003,Teacher 03,matched,14,14
synthetic_canvas,2027-2028,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-010,Honors Algebra 2 - Synthetic Section 03-10,TCH-003,Teacher 03,matched,13,13
synthetic_canvas,2028-2029,MATH-ALG2-H,Honors Algebra 2,honors,Y03-SEC-010,Honors Algebra 2 - Synthetic Section 04-10,TCH-003,Teacher 03,matched,10,10
synthetic_canvas,2028-2029,MATH-ALG2-H,Honors Algebra 2,honors,Y03-SEC-011,Honors Algebra 2 - Synthetic Section 04-11,TCH-003,Teacher 03,matched,10,10
synthetic_canvas,2028-2029,MATH-ALG2-H,Honors Algebra 2,honors,Y03-SEC-012,Honors Algebra 2 - Synthetic Section 04-12,TCH-003,Teacher 03,matched,9,9
synthetic_canvas,2029-2030,MATH-ALG2-H,Honors Algebra 2,honors,Y04-SEC-011,Honors Algebra 2 - Synthetic Section 05-11,TCH-003,Teacher 03,matched,12,12
